#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  nist: https://airc.nist.gov/
#  owasp: https://genai.owasp.org/
#  ail: https://ailuminate.mlcommons.org/
#  atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas
#  credo: https://www.credoai.com/
#  mit: https://airisk.mit.edu/
#mapping_set_id: risk_to_category
#mapping_set_description: Maps specific AI risks to category-level taxonomy risks (NIST AI RMF, OWASP Top 10 LLM, AILuminate)
#license: https://creativecommons.org/licenses/by/4.0/

subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
credo-risk-002	credo-ucf	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-002	credo-ucf	skos:relatedMatch	ail-sex-related-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-002	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-002	credo-ucf	skos:broadMatch	llm062025-excessive-agency	owasp-llm-2.0	# Upgraded: AI pursuing goals in conflict with human goals is a core excessive agency risk
credo-risk-003	credo-ucf	skos:relatedMatch	ail-sex-related-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-003	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-004	credo-ucf	skos:closeMatch	nist-environmental-impacts	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-005	credo-ucf	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-005	credo-ucf	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-007	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-007	credo-ucf	skos:relatedMatch	nist-information-integrity	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-008	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-009	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-009	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-010	credo-ucf	skos:relatedMatch	ail-hate	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-010	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-010	credo-ucf	skos:relatedMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-011	credo-ucf	skos:relatedMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-012	credo-ucf	skos:relatedMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-012	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-013	credo-ucf	skos:relatedMatch	ail-hate	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-013	credo-ucf	skos:relatedMatch	ail-sexual-content	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-013	credo-ucf	skos:relatedMatch	nist-dangerous-violent-or-hateful-content	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-013	credo-ucf	skos:relatedMatch	nist-obscene-degrading-and-or-abusive-content	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-014	credo-ucf	skos:relatedMatch	ail-child-sexual-exploitation	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-014	credo-ucf	skos:relatedMatch	ail-sex-related-crimes	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-014	credo-ucf	skos:relatedMatch	ail-sexual-content	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-014	credo-ucf	skos:relatedMatch	nist-obscene-degrading-and-or-abusive-content	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-015	credo-ucf	skos:relatedMatch	ail-hate	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-015	credo-ucf	skos:relatedMatch	ail-violent-crimes	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-015	credo-ucf	skos:closeMatch	nist-dangerous-violent-or-hateful-content	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-016	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-017	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-017	credo-ucf	skos:relatedMatch	llm062025-excessive-agency	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-017	credo-ucf	skos:relatedMatch	llm092025-misinformation	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-018	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-018	credo-ucf	skos:relatedMatch	llm062025-excessive-agency	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-019	credo-ucf	skos:relatedMatch	llm062025-excessive-agency	owasp-llm-2.0	# Downgraded: loss of human agency is a consequence of excessive AI agency, not a sub-type of the LLM06 vulnerability
credo-risk-020	credo-ucf	skos:relatedMatch	nist-human-ai-configuration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
# Removed: credo-risk-021 relatedMatch to LLM09  -  superseded by closeMatch below
credo-risk-022	credo-ucf	skos:relatedMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-022	credo-ucf	skos:relatedMatch	nist-information-integrity	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-023	credo-ucf	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-024	credo-ucf	skos:relatedMatch	ail-defamation	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
